archive_url,archive_timestamp,url_href,url_domain,url_string,url_index,url_is_story,url_width,url_height,url_x,url_y,url_cell,url_font_size
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.intermarkets.net/adfeedback/form.htm?Plcmt=none&ATFlgt=none&Ntwk=none&NCrt=none,www.intermarkets.net,AD FEEDBACK,0,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://washington.cbslocal.com/2014/11/04/mcconnell-this-is-a-chance-to-begin-to-save-this-country/,washington.cbslocal.com,MCCONNELL: 'This Is Chance To Begin To Save Country'...,1,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.washingtonpost.com/politics/math-is-forbidding-for-democrats-in-struggle-for-senate/2014/11/03/9415379e-638c-11e4-836c-83bc4f26eb67_story.html,www.washingtonpost.com,'Let's go out there and sock it to them!',2,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.washingtonpost.com/politics/math-is-forbidding-for-democrats-in-struggle-for-senate/2014/11/03/9415379e-638c-11e4-836c-83bc4f26eb67_story.html,www.washingtonpost.com,Republicans sense power shift...,3,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.washingtonpost.com/wp-dre/politics/election-lab-2014,www.washingtonpost.com,WASH POST: 98% CHANCE...,4,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.cnn.com/interactive/2014/politics/pivit-election-trends/,www.cnn.com,CNN 95%,5,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.nytimes.com/newsgraphics/2014/senate-model/,www.nytimes.com,NYT: 75%,6,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.washingtonpost.com/politics/where-did-obama-go-wrong/2014/11/03/f0196c0a-61e2-11e4-8b9e-2ccdac31a031_story.html,www.washingtonpost.com,PAPER: Where did O go wrong?,7,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.washingtontimes.com/news/2014/nov/3/campaigns-use-tracking-tools-reminders-to-nudge-vo/,www.washingtontimes.com,Campaigns track voters to polls with digital tools...,8,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://thehill.com/blogs/ballot-box/222723-google-and-facebook-aim-to-get-out-the-vote,thehill.com,GOOGLEFACEBOOK push...,9,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.weeklystandard.com/blogs/gop-hammers-democrats-obamacare-spending-and-immigration_818151.html,www.weeklystandard.com,"Most ads on Obamacare, Spending, and Immigration...",10,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.breitbart.com/Big-Government/2014/11/03/Law-Enforcement-Defines-Election-As-Referendum-Obama-s-Amnesty-Means-Tidal-Wave-Of-Illegal-Immigration,www.breitbart.com,Law Enforcement Give Dire Warning: Exec Amnesty Will Unleash 'Tidal Wave' of Illegals...,11,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.thegatewaypundit.com/2014/11/unprecedented-obama-forces-insurance-industry-to-withhold-2015-prices-until-after-election/,www.thegatewaypundit.com,Obama Forces Insurance Industry to Withhold '15 Prices Until After Election...,12,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.cnn.com/2014/11/03/politics/obama-strategy-democrats-questioning-acosta/,www.cnn.com,WH Strategist: Dems Running from President 'Look Like Chickensh*t'...,13,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.nasdaq.com/article/gop-senate-takeover-would-put-fed-under-microscope-20141104-00443,www.nasdaq.com,GOP Win Would Put Fed Under Microscope...,14,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.nytimes.com/2014/11/04/us/politics/a-guide-to-what-to-watch-for-on-election-night.html,www.nytimes.com,Guide to What to Watch for on Election Night...,15,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.bloomberg.com/politics/articles/2014-11-04/your-2014-election-night-viewers-guide-hour-by-hour,www.bloomberg.com,Hour by hour...,16,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.politico.com/magazine/story/2014/11/harry-reid-midterms-112450.html,www.politico.com,Harry Reid's fateful evening...,17,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://nypost.com/2014/11/03/meet-the-republican-who-may-become-the-youngest-ever-woman-in-congress/,nypost.com,30-year-old Republican set to be youngest congresswoman ever...,18,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.thegatewaypundit.com/2014/11/republican-women-set-to-make-history-tonight/,www.thegatewaypundit.com,GOP women set to make history...,19,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.nbcconnecticut.com/news/local/Voters-Report-Problems-at-Polls-281425521.html,www.nbcconnecticut.com,"CT Vote Mess: Missing Registration Books, Broken Machines...",20,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.infowars.com/republican-lawsuit-in-colorado-claims-democrats-blocking-vote-monitors/,www.infowars.com,REPUBLICAN LAWSUIT IN CO CLAIMS DEMS BLOCKING VOTE MONITORS...,21,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.thedenverchannel.com/news/local-news/arapahoe-county-voter-website-crashes-on-election-day,www.thedenverchannel.com,Website crashes...,22,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.independent.co.uk/news/world/americas/us-midterm-elections-the-outcome-is-likely-to-be-a-more-conservative-america-9836958.html,www.independent.co.uk,DEMS FACE BRUISING,23,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 18:05:06.717668,http://www.drudgereport.com/,www.drudgereport.com,,24,False,None,None,None,None,None,None
