archive_url,archive_timestamp,url_href,url_domain,url_string,url_index,url_is_story,url_width,url_height,url_x,url_y,url_cell,url_font_size
http://www.drudgereport.com/,2014-10-31 14:05:14.954000,http://www.intermarkets.net/adfeedback/form.htm?Plcmt=none&ATFlgt=none&Ntwk=none&NCrt=none,www.intermarkets.net,AD FEEDBACK,0,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-31 14:05:14.954000,http://stlouis.cbslocal.com/2014/10/30/ferguson-store-owners-customers-too-scared-to-bring-business-to-the-area/,stlouis.cbslocal.com,FEAR GRIPS FERGUSON...,1,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-31 14:05:14.954000,http://blogs.rollcall.com/rothenblog/obama-poised-to-set-new-midterm-loss-record/,blogs.rollcall.com,DEMOCRAT HALLOWEEN: PARTY LOSSES 'COULD BE HISTORIC',2,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-31 14:05:14.954000,http://www.drudgereport.com/,www.drudgereport.com,,3,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-31 14:05:14.954000,http://www.motherjones.com/politics/2014/10/can-voting-facebook-button-improve-voter-turnout,www.motherjones.com,MAG: FACEBOOK conducts secret voting tests on users...,4,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-31 14:05:14.954000,http://www.washingtontimes.com/news/2014/oct/29/democrats-use-race-baiting-fliers-to-spur-black-vo/,www.washingtontimes.com,PAPER: Desperate Dems resort to race baiting in final days of election...,5,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-31 14:05:14.954000,http://www.businessinsider.com/charlie-rangel-some-republicans-believe-that-slavery-isnt-over-2014-10,www.businessinsider.com,RANGEL: Some Republicans Believe 'Slavery Isn't Over'...,6,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-31 14:05:14.954000,http://dailycaller.com/2014/10/30/landrieu-obama-and-i-arent-popular-in-the-south-because-its-racist-and-sexist/,dailycaller.com,Landrieu blames Southern hostility...,7,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-31 14:05:14.954000,http://fusion.net/video/24469/spike-lee-on-race-in-america-if-youre-african-american-in-this-country-you-know-what-the-deal-is/,fusion.net,SPIKE LEE: Post-Racial America is 'Bullshit'...,8,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-31 14:05:14.954000,http://news.yahoo.com/graham-remark-helping-white-men-joke-182608380--election.html,news.yahoo.com,GRAHAM: Remark About Helping White Men Was Joke...,9,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-31 14:05:14.954000,http://nypost.com/2014/10/30/democrats-threaten-voters-to-get-to-the-polls/,nypost.com,Pols send voters threatening letters...,10,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-31 14:05:14.954000,http://www.washingtontimes.com/news/2014/oct/30/fundraising-emails-try-to-shame-last-minute-dollar/,www.washingtontimes.com,Shame with fundraising emails...,11,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-31 14:05:14.954000,http://atr.rollcall.com/marc-elias-always-preparing-for-democrats-next-big-recount/?dcz=,atr.rollcall.com,Dem's recount lawyer gears up...,12,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-31 14:05:14.954000,http://www.weeklystandard.com/blogs/gillespie-closing-gap_817787.html,www.weeklystandard.com,Ed Gillespie closing gap in blue VA...,13,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-31 14:05:14.954000,http://www.nytimes.com/2014/10/31/world/europe/new-russian-boldness-revives-a-cold-war-tradition-testing-the-other-side-.html,www.nytimes.com,NYT: RUSSIA SUSPECTED OF HACKING WHITE HOUSE COMPUTERS...,14,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-31 14:05:14.954000,http://www.businessweek.com/articles/2014-10-30/tim-cook-im-proud-to-be-gay,www.businessweek.com,COLUMN: iGay...,15,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-31 14:05:14.954000,http://www.washingtonpost.com/business/economy/tim-cook-comes-out-on-public-stage-pulling-secretive-apple-with-him/2014/10/30/128e08f4-6058-11e4-9f3a-7e28799e0549_story.html,www.washingtonpost.com,"Tim Cook comes out on public stage, pulling secretive APPLE with him...",16,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-10-31 14:05:14.954000,http://www.independent.co.uk/news/people/news/russian-politician-says-apple-ceo-tim-cook-should-be-banned-from-country-after-coming-out-as-gay-9829670.html,www.independent.co.uk,Russian politician says CEO 'should be banned' from country...,17,True,None,None,None,None,None,None
