archive_url,archive_timestamp,url_href,url_domain,url_string,url_index,url_is_story,url_width,url_height,url_x,url_y,url_cell,url_font_size
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.intermarkets.net/adfeedback/form.htm?Plcmt=none&ATFlgt=none&Ntwk=none&NCrt=none,www.intermarkets.net,AD FEEDBACK,0,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.latimes.com/business/la-fi-virgin-galactics-spaceship-anomaly-testing-20141031-story.html#navtype=outfit,www.latimes.com,VIRGIN SPACE CRASH IN MOJAVE...,1,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://losangeles.cbslocal.com/2014/10/31/virgin-galactic-spaceship-encounters-inflight-anomaly-during-test-flight,losangeles.cbslocal.com,"1 Dead, Another Seriously Injured After Test Flight Goes Wrong...",2,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://money.cnn.com/2014/10/31/technology/virgin-galactic-spaceship-crash/index.html?iid=HP_LN,money.cnn.com,$500 Million Spaceship Explodes...,3,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.thedailybeast.com/articles/2014/10/31/spaceshiptwo-flew-on-untested-rocket-motor.html,www.thedailybeast.com,Flew on untested rocket motor...,4,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.dailymail.co.uk/sciencetech/article-2816224/Virgin-Galactic-spaceship-flight-problem.html,www.dailymail.co.uk,Second space disaster in week...,5,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://hosted.ap.org/dynamic/stories/U/US_SPACESHIPTWO?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2014-10-31-15-42-41,hosted.ap.org,Taxpayers foot bill to build state-of-the-art hangar...,6,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.theguardian.com/science/2014/oct/31/branson-virgin-galactic-space-travel-failures,www.theguardian.com,Ambitious space-travel project plagued by problems and delays...,7,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://time.com/3551643/virgin-crash-branson-amateur/,time.com,MAG: Tragedy of Hubris...,8,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://hosted.ap.org/dynamic/stories/U/US_COLORADO_ELECTION_EARLY_VOTES?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2014-10-31-18-46-58,hosted.ap.org,REPUBLICANS TAKE BIG LEAD IN CO EARLY VOTE,9,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.drudgereport.com/,www.drudgereport.com,,10,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.nytimes.com/2014/11/01/us/democrats-count-on-edge-with-women-to-limit-election-losses.html,www.nytimes.com,NYT PAGE ONE SATURDAY: Dems second-guessing strategy of focusing on women's issues over economy...,11,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.nytimes.com/2014/11/01/us/politics/repeal-of-health-law-once-central-to-gop-is-side-issue-in-campaigns.html,www.nytimes.com,Obamacare Repeal Fades as Rallying Cry for Republicans...,12,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.nytimes.com/2014/11/01/us/politics/gop-ads-chase-voters-at-home-and-on-the-go-.html,www.nytimes.com,PERSONALIZED PITCH: Digital 'track and chase' ground game delivers specific messages to individual voters...,13,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.weeklystandard.com/blogs/harry-reids-begging_817783.html,www.weeklystandard.com,REID TRIES 'BEGGING'...,14,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.bloomberg.com/politics/articles/2014-10-31/election-tally-one-million-senate-ads,www.bloomberg.com,One Million Senate Ads -- And Counting...,15,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.nytimes.com/newsgraphics/2014/senate-model/,www.nytimes.com,NYT: 68% REPUBLICANS TAKE...,16,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.washingtonpost.com/wp-dre/politics/election-lab-2014,www.washingtonpost.com,WASH POST: 95% CHANCE...,17,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.reuters.com/article/2014/10/31/us-usa-elections-turnout-idUSKBN0IK28520141031,www.reuters.com,WIRE: Fired-up Republicans have edge in turnout war...,18,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.bloomberg.com/politics/articles/2014-10-31/wall-streets-record-midterm-money-flows-to-republicans,www.bloomberg.com,Record Wall Street Money Flows to GOP...,19,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.washingtonpost.com/blogs/innovations/wp/2014/10/31/what-happens-when-your-friends-smartphone-can-tell-that-youre-lying/,www.washingtonpost.com,Smartphones will soon know when you're lying...,20,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.myfoxdc.com/story/27175786/drivers-scramble-for-cash-on-i-270-after-crash,www.myfoxdc.com,"Drivers Scramble To Grab Money Flying Around Interstate...

Armored Truck And Dump Truck Collide!",21,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.myfoxdc.com/story/27170354/video-cowboys-fan-destroys-house-after-teams-loss-to-redskins,www.myfoxdc.com,SNAP: Cowboys Fan Destroys House After Team's Loss...,22,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.courant.com/breaking-news/hc-stamford-skulls-1101-20141031-story.html#navtype=outfit,www.courant.com,"Human Skulls Found With Books On Satan, Witchcraft...",23,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://blogs.rollcall.com/rothenblog/obama-poised-to-set-new-midterm-loss-record/,blogs.rollcall.com,DEMOCRAT HALLOWEEN: PARTY LOSSES 'COULD BE HISTORIC'...,24,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.washingtontimes.com/news/2014/oct/29/democrats-use-race-baiting-fliers-to-spur-black-vo/,www.washingtontimes.com,PAPER: Desperate Dems resort to race baiting in final days of election...,25,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.businessinsider.com/charlie-rangel-some-republicans-believe-that-slavery-isnt-over-2014-10,www.businessinsider.com,RANGEL: Some Republicans Believe 'Slavery Isn't Over'...,26,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://dailycaller.com/2014/10/30/landrieu-obama-and-i-arent-popular-in-the-south-because-its-racist-and-sexist/,dailycaller.com,Landrieu blames Southern hostility...,27,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.nola.com/opinions/index.ssf/2014/10/a_desperate_mary_landrieu_smea.html,www.nola.com,TIMES-PICAYUNE: Desperate Senator smears state she represents...,28,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://fusion.net/video/24469/spike-lee-on-race-in-america-if-youre-african-american-in-this-country-you-know-what-the-deal-is/,fusion.net,SPIKE LEE: Post-Racial America is 'Bullshit'...,29,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://news.yahoo.com/graham-remark-helping-white-men-joke-182608380--election.html,news.yahoo.com,GRAHAM: Remark About Helping White Men Was Joke...,30,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.motherjones.com/politics/2014/10/can-voting-facebook-button-improve-voter-turnout,www.motherjones.com,MAG: FACEBOOK conducts secret voting tests on users...,31,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://eagnews.org/man-in-obama-mask-and-hazmat-suit-posts-obola-posters-across-chicago/,eagnews.org,VIDEO: Man in Obama mask and hazmat suit posts 'Obola' posters across Chicago...,32,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://stlouis.cbslocal.com/2014/10/30/ferguson-store-owners-customers-too-scared-to-bring-business-to-the-area/,stlouis.cbslocal.com,FEAR GRIPS FERGUSON -- AGAIN...,33,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.kmbc.com/news/sharpton-returns-to-st-louis-shooting-protests/29454486?absolute=true,www.kmbc.com,Sharpton returns...,34,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.washingtonpost.com/world/national-security/federal-civil-rights-charges-unlikely-against-police-officer-in-ferguson-shooting/2014/10/31/56189d80-6055-11e4-8b9e-2ccdac31a031_story.html?hpid=z1,www.washingtonpost.com,WASH POST: Officer unlikely to face civil-rights case...,35,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.nytimes.com/2014/11/01/world/europe/in-air-and-cyberspace-on-land-and-sea-russia-shows-muscle.html,www.nytimes.com,NYT: RUSSIA SHOWS MUSCLE...,36,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://news.yahoo.com/nato-reports-more-russian-flights-intercepts-193933206.html,news.yahoo.com,"NATO reports more flights, intercepts...",37,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://news.yahoo.com/back-cold-war-russia-probes-nato-defences-151451899.html;_ylt=AwrBJSDerVNUYmsAHtPQtDMD,news.yahoo.com,Back to Cold War...,38,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.ft.com/cms/s/0/60bc4b0e-6034-11e4-98e6-00144feabdc0.html,www.ft.com,Polish spies return amid east-west tensions...,39,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://abcnews.go.com/News/career-diplomats-worried-influx-political-appointees-state-department/story?id=26605856,abcnews.go.com,Career Diplomats Worried About Influx of Political Appointees at State Dept...,40,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.washingtonpost.com/blogs/the-switch/wp/2014/10/30/how-one-mans-private-files-ended-up-on-apples-icloud-without-his-consent/,www.washingtonpost.com,APPLE criticized after users' private files end up in cloud...,41,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://insidetv.ew.com/2014/10/31/reality-tv/,insidetv.ew.com,Reality TV struggling: Cable nets try dramas instead...,42,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.latimes.com/nation/la-na-pot-legalization-20141030-story.html,www.latimes.com,Outlook for states' pot legalization measures goes from solid to shaky...,43,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.telegraph.co.uk/health/healthnews/11199403/Secret-of-healthy-ageing-discovered-in-ground-breaking-35-year-study.html,www.telegraph.co.uk,"Secret of healthy aging discovered in 35-year study...

Eat well, work out and never smoke...",44,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.express.co.uk/life-style/health/529633/5-simple-lifestyle-rules-that-add-years-to-your-life,www.express.co.uk,5 GOLDEN RULES...,45,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.intermarkets.net/adfeedback/form.htm?Plcmt=none&ATFlgt=none&Ntwk=none&NCrt=none,www.intermarkets.net,AD FEEDBACK,46,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://news.myway.com/index/id/world%7Cap.html,news.myway.com,AP WORLD,47,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://news.myway.com/index/id/national%7Cap.html,news.myway.com,AP NATIONAL,48,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.lasvegassun.com/news/beltway/,www.lasvegassun.com,AP WASHINGTON,49,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://news.myway.com/index/id/business%7Cap.html,news.myway.com,AP BUSINESS,50,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://www.syracuse.com/newsflash/index.ssf/entertainment,www.syracuse.com,AP ENTERTAINMENT,51,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://news.myway.com/index/id/top|ap.html,news.myway.com,AP ON THE HOUR,52,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-01 10:04:37.933678,http://hosted.ap.org/dynamic/fronts/RAW?SITE=AP&SECTION=HOME,hosted.ap.org,AP RAW,53,False,None,None,None,None,None,None
