archive_url,archive_timestamp,url_href,url_domain,url_string,url_index,url_is_story,url_width,url_height,url_x,url_y,url_cell,url_font_size
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.intermarkets.net/adfeedback/form.htm?Plcmt=none&ATFlgt=none&Ntwk=none&NCrt=none,www.intermarkets.net,AD FEEDBACK,0,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://washington.cbslocal.com/2014/11/04/mcconnell-this-is-a-chance-to-begin-to-save-this-country/,washington.cbslocal.com,MCCONNELL: 'This Is Chance To Begin To Save Country'...,1,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.washingtonpost.com/politics/math-is-forbidding-for-democrats-in-struggle-for-senate/2014/11/03/9415379e-638c-11e4-836c-83bc4f26eb67_story.html,www.washingtonpost.com,'Let's go out there and sock it to them!',2,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.washingtonpost.com/politics/math-is-forbidding-for-democrats-in-struggle-for-senate/2014/11/03/9415379e-638c-11e4-836c-83bc4f26eb67_story.html,www.washingtonpost.com,Republicans sense power shift...,3,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.cnn.com/2014/11/03/politics/obama-strategy-democrats-questioning-acosta/,www.cnn.com,WH Strategist: Dems Running from President 'Look Like Chickensh*t'...,4,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://blogs.wsj.com/peggynoonan/2014/11/03/how-to-lose-and-win-graciously/,blogs.wsj.com,"NOONAN: How to Lose, and Win, Graciously...",5,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.politico.com/2014-election/results/map/senate,www.politico.com,POLITICO: LIVE SENATE MAP...,6,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.nationaljournal.com/hotline/2014-midterm-elections-results,www.nationaljournal.com,HOLTINE UPDATE...,7,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.nytimes.com/2014/11/04/us/politics/a-guide-to-what-to-watch-for-on-election-night.html,www.nytimes.com,Guide What to Watch...,8,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.bloomberg.com/politics/articles/2014-11-04/your-2014-election-night-viewers-guide-hour-by-hour,www.bloomberg.com,Hour by hour...,9,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.washingtonexaminer.com/michael-barones-guide-to-election-night-2014/article/2555567,www.washingtonexaminer.com,Barone Cheat Sheet...,10,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://apnews.myway.com/article/20141104/us-election-rdp-9969720623.html,apnews.myway.com,TONIGHT: RESULTS,11,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.drudgereport.com/,www.drudgereport.com,,12,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.hollywoodreporter.com/news/cbs-news-reporter-sharyl-attkisson-745982,www.hollywoodreporter.com,ATTKISSON: Obama Keeps 'Enemies List'...,13,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://insider.foxnews.com/2014/11/03/sharyl-attkisson-hacking-software-was-fbi-cia-dia-or-nsa,insider.foxnews.com,Forensics team working to expose which gov't agency hacked computer...,14,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,https://thehill.com/blogs/blog-briefing-room/news/222682-justice-to-send-monitors-to-18-states,thehill.com,Holder Sends Election Monitors to Polls...,15,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.washingtonpost.com/blogs/federal-eye/wp/2014/11/03/justice-department-dispatches-poll-monitors-for-election-day/,www.washingtonpost.com,"Will look for 'race-based discrimination'...

Inadequate resources for non-english speaking voters...",16,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.usatoday.com/story/news/nation/2014/11/04/guard-fired-obama-visit/18451405/,www.usatoday.com,Guard fired after Obama visit: I'm not a convict...,17,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.star-telegram.com/2014/10/30/6246026/arlington-school-officials-ban.html,www.star-telegram.com,School officials ban football shirts over 'rape' insensitivity...,18,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.sacbee.com/news/state/california/article3550975.html,www.sacbee.com,CA to release per-capita water use numbers...,19,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://televisions.reviewed.com/news/nielsen-teams-with-adobe-to-rate-the-web?utm_source=usat&utm_medium=referral&utm_campaign=collab,televisions.reviewed.com,NIELSEN Teams With ADOBE to Rate the Web...,20,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.breitbart.com/Breitbart-California/2014/11/04/Django-Unchained-Actress-Blames-Ferguson-Society-for-Her-Explosive-Rage-Towards-LAPD,www.breitbart.com,"DJANGO CHAINED: Arrested Actress Blames Ferguson, Society...",21,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://stlouis.cbslocal.com/2014/11/04/michael-browns-parents-to-speak-at-un,stlouis.cbslocal.com,Michael Brown's Parents To Speak At UN...,22,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.latimes.com/opinion/op-ed/la-oe-goldberg-voting-citizenship-20141104-column.html,www.latimes.com,GOLDBERG: Why Lena Dunham shouldn't be allowed to vote...,23,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://time.com/3556513/lena-dunham-sexual-abuse-controversy,time.com,'GIRL' SORRY AFTER BOOK CONTROVERSY...,24,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://gizmodo.com/darpa-funded-researchers-have-tested-a-drone-that-can-l-1654444124,gizmodo.com,Researchers Test Drone -- That Learns...,25,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.dailymail.co.uk/sciencetech/article-2820606/Feeling-listen-SAD-music-Melancholy-tunes-lift-moods.html,www.dailymail.co.uk,STUDY: Melancholy tunes lift our moods...,26,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.intermarkets.net/adfeedback/form.htm?Plcmt=none&ATFlgt=none&Ntwk=none&NCrt=none,www.intermarkets.net,AD FEEDBACK,27,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://news.myway.com/index/id/world%7Cap.html,news.myway.com,AP WORLD,28,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://news.myway.com/index/id/national%7Cap.html,news.myway.com,AP NATIONAL,29,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.lasvegassun.com/news/beltway/,www.lasvegassun.com,AP WASHINGTON,30,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://news.myway.com/index/id/business%7Cap.html,news.myway.com,AP BUSINESS,31,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://www.syracuse.com/newsflash/index.ssf/entertainment,www.syracuse.com,AP ENTERTAINMENT,32,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://news.myway.com/index/id/top|ap.html,news.myway.com,AP ON THE HOUR,33,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 23:04:25.126946,http://hosted.ap.org/dynamic/fronts/RAW?SITE=AP&SECTION=HOME,hosted.ap.org,AP RAW,34,False,None,None,None,None,None,None
