archive_url,archive_timestamp,url_href,url_domain,url_string,url_index,url_is_story,url_width,url_height,url_x,url_y,url_cell,url_font_size
http://www.drudgereport.com/,2014-11-04 02:08:33.192557,http://www.intermarkets.net/adfeedback/form.htm?Plcmt=none&ATFlgt=none&Ntwk=none&NCrt=none,www.intermarkets.net,AD FEEDBACK,0,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 02:08:33.192557,http://apnews.myway.com/article/20141104/us--midterm_elections_rdp-b9447fcad4.html,apnews.myway.com,"Republicans sense power shift, while Dems rev up damage control...",1,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 02:08:33.192557,http://www.washingtonpost.com/wp-dre/politics/election-lab-2014,www.washingtonpost.com,WASH POST: 97% CHANCE GOP TAKES SENATE...,2,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 02:08:33.192557,http://www.cnn.com/interactive/2014/politics/pivit-election-trends/,www.cnn.com,CNN 95%,3,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 02:08:33.192557,http://www.nytimes.com/newsgraphics/2014/senate-model/,www.nytimes.com,NYT: 70%,4,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 02:08:33.192557,http://www.washingtonpost.com/politics/where-did-obama-go-wrong/2014/11/03/f0196c0a-61e2-11e4-8b9e-2ccdac31a031_story.html,www.washingtonpost.com,PAPER: Where did Obama go wrong?,5,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 02:08:33.192557,http://www.nytimes.com/2014/11/04/us/politics/midterm-election-polls-point-to-a-late-night.html,www.nytimes.com,NYT: Irate Electorate...,6,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 02:08:33.192557,http://www.weeklystandard.com/blogs/anti-obamacare-ads-dominate-gop-ad-buys-october_817183.html,www.weeklystandard.com,Most ads on ObamaCare...,7,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 02:08:33.192557,http://freebeacon.com/politics/michelle-nunn-again-refuses-to-say-if-she-would-have-voted-for-obamacare/,freebeacon.com,GA Dem Refuses to Say If Would Have Voted For Law -- Again...,8,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 02:08:33.192557,http://www.youtube.com/watch?v=Bj5NfUWUmbE,www.youtube.com,VIDEO: SCOTT BROWN'S FINAL PITCH...,9,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 02:08:33.192557,http://www.independent.co.uk/news/world/americas/us-midterm-elections-the-outcome-is-likely-to-be-a-more-conservative-america-9836958.html,www.independent.co.uk,TUESDAY: AMERICA TURNS RIGHT?,10,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 02:08:33.192557,http://www.drudgereport.com/,www.drudgereport.com,,11,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 02:08:33.192557,https://thehill.com/blogs/blog-briefing-room/news/222682-justice-to-send-monitors-to-18-states,thehill.com,Holder Sends Election Monitors to Polls...,12,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 02:08:33.192557,http://www.dailymail.co.uk/news/article-2818443/James-O-Keefe-s-video-shows-North-Carolina-poll-workers-offering-ballots.html,www.dailymail.co.uk,"NC poll workers offer ballots to impostor -- TWENTY TIMES!

VIDEO: O'Keefe strikes again...",13,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-04 02:08:33.192557,http://www.truthrevolt.org/commentary/lena-dunham-threatens-sue-truth-revolt-quoting-her,www.truthrevolt.org,GONE GIRL: Lena Dunham Threatens To Sue After Book Controversy...,14,True,None,None,None,None,None,None
