archive_url,archive_timestamp,url_href,url_domain,url_string,url_index,url_is_story,url_width,url_height,url_x,url_y,url_cell,url_font_size
http://www.drudgereport.com/,2014-11-02 00:05:28.014116,http://www.intermarkets.net/adfeedback/form.htm?Plcmt=none&ATFlgt=none&Ntwk=none&NCrt=none,www.intermarkets.net,AD FEEDBACK,0,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-02 00:05:28.014116,http://www.washingtonpost.com/politics/an-election-about-rejection/2014/11/01/1f471a94-61d0-11e4-8b9e-2ccdac31a031_story.html?hpid=z1,www.washingtonpost.com,BALZ: An election about rejection...,1,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-02 00:05:28.014116,http://www.nytimes.com/2014/11/02/us/politics/both-parties-see-campaign-tilting-to-republicans.html,www.nytimes.com,Both Parties See Campaign Tilting to Republicans...,2,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-02 00:05:28.014116,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0CCEQqQIwAA&url=http%3A%2F%2Fonline.wsj.com%2Farticles%2Fsenate-control-comes-down-to-eight-races-1414795941&ei=QFxVVP7ACanmsATOvYCACQ&usg=AFQjCNFZymb7Geiz9Nx0yMMywtaYNoZPBA&sig2=j9EHt8sPxrBT536vS0tGFg&bvm=bv.78677474,d.cWc",www.google.com,Control of Senate Down To 8 Races...,3,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-02 00:05:28.014116,http://www.politico.com/story/2014/11/harry-reid-iowa-senate-elections-112405.html?hp=f2,www.politico.com,Reid: Fate Rests in Iowa...,4,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-02 00:05:28.014116,http://www.desmoinesregister.com/story/news/politics/iowa-poll/2014/11/01/iowa-poll-joni-ernst-leads-bruce-braley/18345157/,www.desmoinesregister.com,JONI TAKES 7 POINT LEAD,5,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-02 00:05:28.014116,http://www.drudgereport.com/,www.drudgereport.com,,6,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-02 00:05:28.014116,http://hosted.ap.org/dynamic/stories/U/US_COLORADO_ELECTION_EARLY_VOTES?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2014-10-31-18-46-58,hosted.ap.org,REPUBLICANS TAKE BIG LEAD IN CO EARLY VOTE...,7,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-02 00:05:28.014116,http://www.washingtontimes.com/news/2014/oct/31/hillary-clinton-michelle-obama-hit-by-hecklers-at-/,www.washingtontimes.com,"Michelle O, Hillary heckled at separate campaign appearances...",8,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-02 00:05:28.014116,http://www.nytimes.com/2014/11/01/us/democrats-count-on-edge-with-women-to-limit-election-losses.html,www.nytimes.com,NYT PAGE ONE: Dems second-guessing strategy of focusing on women's issues over economy...,9,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-02 00:05:28.014116,http://www.nytimes.com/2014/11/01/us/politics/repeal-of-health-law-once-central-to-gop-is-side-issue-in-campaigns.html,www.nytimes.com,Obamacare Repeal Fades as Rallying Cry for Republicans...,10,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-02 00:05:28.014116,http://www.nytimes.com/2014/11/01/us/politics/gop-ads-chase-voters-at-home-and-on-the-go-.html,www.nytimes.com,PERSONALIZED PITCH: Digital 'track and chase' ground game delivers specific messages to individual voters...,11,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-02 00:05:28.014116,http://www.weeklystandard.com/blogs/harry-reids-begging_817783.html,www.weeklystandard.com,REID TRIES 'BEGGING'...,12,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-02 00:05:28.014116,http://www.bloomberg.com/politics/articles/2014-10-31/election-tally-one-million-senate-ads,www.bloomberg.com,One Million Senate Ads -- And Counting...,13,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-02 00:05:28.014116,http://www.nytimes.com/newsgraphics/2014/senate-model/,www.nytimes.com,NYT: 69% REPUBLICANS TAKE...,14,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-02 00:05:28.014116,http://www.washingtonpost.com/wp-dre/politics/election-lab-2014,www.washingtonpost.com,WASH POST: 95% CHANCE...,15,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-02 00:05:28.014116,http://www.reuters.com/article/2014/10/31/us-usa-elections-turnout-idUSKBN0IK28520141031,www.reuters.com,WIRE: Fired-up Republicans have edge in turnout war...,16,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-02 00:05:28.014116,http://www.politico.com/story/2014/10/democrats-iowa-2014-elections-112394.html?hp=l2,www.politico.com,Dems fear Iowa slipping away...,17,True,None,None,None,None,None,None
