archive_url,archive_timestamp,url_href,url_domain,url_string,url_index,url_is_story,url_width,url_height,url_x,url_y,url_cell,url_font_size
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.intermarkets.net/adfeedback/form.htm?Plcmt=none&ATFlgt=none&Ntwk=none&NCrt=none,www.intermarkets.net,AD FEEDBACK,0,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.latimes.com/nation/politics/la-na-election-overview-20141103-story.html#navtype=outfit,www.latimes.com,Midterm election rides wave of anger at incumbents...,1,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.weeklystandard.com/blogs/anti-obamacare-ads-dominate-gop-ad-buys-october_817183.html,www.weeklystandard.com,Most ads on ObamaCare...,2,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.youtube.com/watch?v=Bj5NfUWUmbE,www.youtube.com,VIDEO: SCOTT BROWN'S FINAL PITCH...,3,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.washingtonpost.com/wp-dre/politics/election-lab-2014,www.washingtonpost.com,WASH POST: 96% CHANCE,4,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.cnn.com/interactive/2014/politics/pivit-election-trends/,www.cnn.com,CNN 95%,5,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.nytimes.com/newsgraphics/2014/senate-model/,www.nytimes.com,NYT: 70%,6,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.drudgereport.com/,www.drudgereport.com,,7,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.dailymail.co.uk/news/article-2818443/James-O-Keefe-s-video-shows-North-Carolina-poll-workers-offering-ballots.html,www.dailymail.co.uk,"NC poll workers offer ballots to impostor -- TWENTY TIMES!

VIDEO: O'Keefe strikes again...",8,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://eagnews.org/student-mounts-campaign-to-repeal-michelle-os-lunch-rules/,eagnews.org,"Student mounts campaign to repeal Michelle O lunch rules...

Free mayo packets to bypass restrictions...",9,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.truthrevolt.org/commentary/lena-dunham-threatens-sue-truth-revolt-quoting-her,www.truthrevolt.org,GONE GIRL: Lena Dunham Threatens To Sue After Book Controversy...,10,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.haaretz.com/news/national/1.624112,www.haaretz.com,Israeli artist arrested for defacating on national flag...,11,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://washington.cbslocal.com/2014/11/03/ben-stein-obama-is-the-most-racist-president-there-has-ever-been,washington.cbslocal.com,BEN STEIN: Obama 'Most Racist President There's Ever Been'...,12,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.rasmussenreports.com/public_content/politics/general_politics/october_2014/78_say_politicians_play_race_card_just_to_get_reelected,www.rasmussenreports.com,POLL: 78% Say Politicians Play 'Race Card' to Get Reelected...,13,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.washingtontimes.com/news/2014/nov/2/campaign-flyer-tells-blacks-alabama-vote-or-face-h/,www.washingtontimes.com,Flyer in AL warns of 'klansman' rule if GOP wins...,14,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://losangeles.cbslocal.com/2014/11/03/civil-rights-leaders-demand-probe-of-maxine-waters-poverty-pimp-posters/,losangeles.cbslocal.com,Civil Rights Leaders Call For Probe Into 'Poverty Pimp' Posters Against Congresswoman Waters...,15,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.hospitalitynet.org/news/4067613.html,www.hospitalitynet.org,"Hotels eliminating all human interaction at check-in...

Guests enter room via smartphone, reusable keycard...",16,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.drudgereport.com/,www.drudgereport.com,Globetrotting travel writer decides nowhere is best... Developing...,17,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.telegraph.co.uk/news/worldnews/northamerica/usa/11205462/Nik-Wallenda-for-my-next-trick-Im-walking-Georgias-Tallulah-Gorge.html,www.telegraph.co.uk,WALLENDA: I'm walking Georgia's Tallulah Gorge!,18,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.independent.co.uk/news/world/middle-east/how-did-islamists-receive-american-weapons-see-the-evidence-from-guided-missile-that-exploded-near-syrian-front-line-9834472.html,www.independent.co.uk,Islamists ready for Mediterranean battle...,19,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.washingtonpost.com/politics/cruz-provides-the-assist-but-hes-looking-beyond-tuesday/2014/11/02/d54b1e50-62aa-11e4-836c-83bc4f26eb67_story.html,www.washingtonpost.com,Al-Qaida militants rout 'moderate rebels' in Syria...,20,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.usatoday.com/story/news/nation/2014/11/01/pope-francis-catholics-americans-culture/18263293/,www.usatoday.com,Pope agitates conservative Catholics...,21,True,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://hosted.ap.org/dynamic/stories/M/ML_EGYPT?SITE=AP&SECTION=HOME&TEMPLATE=DEFAULT&CTIME=2014-11-02-12-28-38,hosted.ap.org,Egyptian Journalists Protest Editors' Pledge Not to Criticize State...,22,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.intermarkets.net/adfeedback/form.htm?Plcmt=none&ATFlgt=none&Ntwk=none&NCrt=none,www.intermarkets.net,AD FEEDBACK,23,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://news.myway.com/index/id/world%7Cap.html,news.myway.com,AP WORLD,24,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://news.myway.com/index/id/national%7Cap.html,news.myway.com,AP NATIONAL,25,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.lasvegassun.com/news/beltway/,www.lasvegassun.com,AP WASHINGTON,26,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://news.myway.com/index/id/business%7Cap.html,news.myway.com,AP BUSINESS,27,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.syracuse.com/newsflash/index.ssf/entertainment,www.syracuse.com,AP ENTERTAINMENT,28,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://news.myway.com/index/id/top|ap.html,news.myway.com,AP ON THE HOUR,29,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://hosted.ap.org/dynamic/fronts/RAW?SITE=AP&SECTION=HOME,hosted.ap.org,AP RAW,30,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://ap.tbo.com/breaking/national/,ap.tbo.com,AP BREAKING,31,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://search.news.yahoo.com/search/news?p=a&c=news_photos,search.news.yahoo.com,AP/REUTERS PHOTO WIRE,32,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://hosted.ap.org/dynamic/files/specials/videolineups/audio.html?SITE=MNROC&SECTION=HOME,hosted.ap.org,AP AUDIO,33,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.bloomberg.com/?pid=20601087&sid=a0giIbmAzkss&pos=7,www.bloomberg.com,BLOOMBERG,34,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://home.businesswire.com/portal/site/home/index.jsp?front_door=true&headlineSearchConfigBO=v2*G0,home.businesswire.com,BUSINESS WIRE,35,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://www.monstersandcritics.com/news/,www.monstersandcritics.com,DEUTSCHE PRESSE-AGENTUR,36,False,None,None,None,None,None,None
http://www.drudgereport.com/,2014-11-03 18:05:01.126865,http://news.nasdaq.com/aspxcontent/newsheadlines.aspx?&SourceCode=,news.nasdaq.com,DOW JONES,37,False,None,None,None,None,None,None
